Nro.,Escuela Profesional,Sede,Edad,Sexo,1.1 Semestre,1.2 Estado civil,1.3 Tiene Hijos,1.4 Trabaja y estudia,1.5 Vive Solo,1.6 Promedio ponderado,1.7 Nivel Socioeconómico,1.8 Excelencia académica
1,ADMINISTRACIÓN,CUSCO,20,Femenino,4 semestre,Soltero,No,No,No,16.466,A,0
2,ADMINISTRACIÓN,QUILLABAMBA,27,Masculino,5 semestre,Soltero,No,Si,No,19.103,A,1
3,ADMINISTRACIÓN,CUSCO,22,Masculino,10 semestre,Soltero,No,Si,Si,14.318,B,0
4,ADMINISTRACIÓN,QUILLABAMBA,27,Femenino,7 semestre,Conviviente,Si,Si,Si,14.088,A,0
5,ADMINISTRACIÓN,QUILLABAMBA,31,Masculino,10 semestre,Soltero,No,Si,Si,15.463,A,1
6,ADMINISTRACIÓN,CUSCO,20,Femenino,6 semestre,Soltero,No,No,Si,15.076,A,1
7,ADMINISTRACIÓN,CUSCO,23,Femenino,10 semestre,Soltero,No,No,No,17.98,A,1
8,ADMINISTRACIÓN,SICUANI,20,Masculino,6 semestre,Soltero,No,Si,Si,14.671,B,0
9,ADMINISTRACIÓN,QUILLABAMBA,23,Masculino,8 semestre,Soltero,No,Si,No,14.96,C,0
10,ADMINISTRACIÓN,CUSCO,18,Masculino,1 semestre,Soltero,No,Si,No,12.941,C,0
11,ADMINISTRACIÓN,QUILLABAMBA,19,Femenino,7 semestre,Soltero,No,No,No,15.182,C,1
12,ADMINISTRACIÓN,CUSCO,26,Femenino,6 semestre,Casado,Si,Si,No,11.478,A,0
13,ADMINISTRACIÓN,CUSCO,21,Femenino,8 semestre,Soltero,No,Si,Si,11.682,C,0
14,ADMINISTRACIÓN,PUERTO MALDONADO,26,Femenino,8 semestre,Conviviente,Si,Si,No,15.532,A,1
15,ADMINISTRACIÓN,QUILLABAMBA,23,Masculino,6 semestre,Soltero,No,Si,Si,15.603,B,1
16,ADMINISTRACIÓN,QUILLABAMBA,27,Femenino,5 semestre,Soltero,No,Si,Si,11.97,C,0
17,ADMINISTRACIÓN,PUERTO MALDONADO,23,Masculino,5 semestre,Soltero,No,Si,No,18.465,A,1
18,ADMINISTRACIÓN,SICUANI,20,Femenino,9 semestre,Conviviente,No,Si,Si,19.365,A,1
19,ADMINISTRACIÓN,CUSCO,20,Masculino,7 semestre,Soltero,No,No,No,15.328,B,0
20,ADMINISTRACIÓN,CUSCO,24,Masculino,5 semestre,Soltero,No,Si,No,15.055,B,0
21,ADMINISTRACIÓN,QUILLABAMBA,30,Masculino,6 semestre,Soltero,No,Si,No,17.108,C,1
22,ADMINISTRACIÓN,CUSCO,27,Masculino,10 semestre,Soltero,No,Si,No,15.479,A,0
23,ADMINISTRACIÓN,CUSCO,27,Masculino,9 semestre,Soltero,No,No,No,12.768,C,0
24,ADMINISTRACIÓN,PUERTO MALDONADO,18,Masculino,3 semestre,Soltero,No,Si,No,14.193,C,0
25,ADMINISTRACIÓN,CUSCO,25,Femenino,8 semestre,Soltero,Si,No,No,11.999,C,0
26,ADMINISTRACIÓN,PUERTO MALDONADO,20,Femenino,7 semestre,Soltero,No,Si,No,11.137,A,0
27,ADMINISTRACIÓN,SICUANI,26,Femenino,9 semestre,Soltero,No,Si,Si,18.735,A,1
28,ADMINISTRACIÓN,QUILLABAMBA,22,Femenino,10 semestre,Soltero,No,Si,Si,14.238,B,0
29,ADMINISTRACIÓN,SICUANI,23,Femenino,7 semestre,Conviviente,No,Si,No,11.136,B,0
30,ADMINISTRACIÓN,CUSCO,23,Masculino,8 semestre,Soltero,No,No,No,19.454,C,1
31,ADMINISTRACIÓN,CUSCO,21,Femenino,9 semestre,Soltero,No,Si,No,11.156,A,0
32,ADMINISTRACIÓN,SICUANI,27,Masculino,7 semestre,Soltero,No,Si,No,16.232,A,1
33,ADMINISTRACIÓN,CUSCO,25,Femenino,9 semestre,Soltero,No,No,No,18.176,B,1
34,ADMINISTRACIÓN,CUSCO,19,Femenino,4 semestre,Soltero,No,No,No,12.122,A,0
35,ADMINISTRACIÓN,SICUANI,21,Masculino,5 semestre,Soltero,No,Si,No,12.521,A,0
36,ADMINISTRACIÓN,CUSCO,24,Masculino,4 semestre,Conviviente,No,Si,No,17.854,B,1
37,ADMINISTRACIÓN,QUILLABAMBA,29,Masculino,5 semestre,Soltero,Si,Si,No,19.455,B,1
38,ADMINISTRACIÓN,CUSCO,22,Femenino,8 semestre,Soltero,No,Si,Si,17.984,A,1
39,ADMINISTRACIÓN,SICUANI,33,Masculino,10 semestre,Conviviente,No,Si,No,14.456,A,0
40,ADMINISTRACIÓN,CUSCO,18,Masculino,4 semestre,Soltero,No,Si,No,13.832,C,0
41,ADMINISTRACIÓN,QUILLABAMBA,22,Masculino,3 semestre,Soltero,No,Si,Si,15.317,C,1
42,ADMINISTRACIÓN,CUSCO,21,Femenino,9 semestre,Soltero,No,No,No,18.16,A,1
43,ADMINISTRACIÓN,CUSCO,22,Masculino,3 semestre,Soltero,No,Si,No,17.629,A,1
44,ADMINISTRACIÓN,QUILLABAMBA,26,Masculino,2 semestre,Soltero,No,Si,No,16.022,B,1
45,ADMINISTRACIÓN,CUSCO,22,Femenino,9 semestre,Soltero,No,Si,No,14.43,C,0
46,ADMINISTRACIÓN,QUILLABAMBA,21,Femenino,5 semestre,Soltero,No,Si,Si,13.539,B,0
47,ADMINISTRACIÓN,SICUANI,24,Femenino,5 semestre,Soltero,No,Si,No,11.601,B,0
48,ADMINISTRACIÓN,PUERTO MALDONADO,21,Masculino,5 semestre,Soltero,No,No,No,18.13,A,1
49,ADMINISTRACIÓN,CUSCO,30,Femenino,10 semestre,Soltero,Si,Si,Si,16.445,B,1
50,ADMINISTRACIÓN,CUSCO,20,Masculino,7 semestre,Soltero,No,No,Si,12.385,C,0
51,ADMINISTRACIÓN,CUSCO,22,Femenino,8 semestre,Soltero,No,Si,No,11.683,C,0
52,ADMINISTRACIÓN,QUILLABAMBA,24,Masculino,10 semestre,Soltero,No,Si,Si,12.41,C,0
53,ADMINISTRACIÓN,QUILLABAMBA,24,Masculino,10 semestre,Soltero,No,Si,Si,18.303,A,1
54,ADMINISTRACIÓN,CUSCO,19,Masculino,5 semestre,Soltero,No,Si,Si,16.294,B,1
55,ADMINISTRACIÓN,SICUANI,22,Masculino,9 semestre,Soltero,No,Si,Si,18.88,A,1
56,ADMINISTRACIÓN,CUSCO,28,Femenino,9 semestre,Soltero,Si,Si,Si,18.921,B,1
57,ADMINISTRACIÓN,CUSCO,27,Masculino,10 semestre,Soltero,No,Si,No,17.556,A,1
58,ADMINISTRACIÓN,SICUANI,24,Masculino,10 semestre,Soltero,No,Si,No,13.232,C,0
59,ADMINISTRACIÓN,SICUANI,19,Masculino,5 semestre,Soltero,No,Si,Si,12.798,A,0
60,ADMINISTRACIÓN,QUILLABAMBA,19,Masculino,3 semestre,Soltero,No,Si,No,16.251,C,1
61,ADMINISTRACIÓN,PUERTO MALDONADO,30,Femenino,10 semestre,Soltero,No,Si,Si,17.746,A,1
62,ADMINISTRACIÓN,CUSCO,21,Femenino,7 semestre,Soltero,No,No,Si,13.939,B,0
63,ADMINISTRACIÓN,SICUANI,22,Masculino,5 semestre,Soltero,No,Si,Si,16.84,A,1
64,ADMINISTRACIÓN,CUSCO,22,Masculino,3 semestre,Soltero,No,Si,No,15.997,C,1
65,ADMINISTRACIÓN,QUILLABAMBA,21,Femenino,3 semestre,Soltero,No,Si,Si,18.315,B,1
66,ADMINISTRACIÓN,SICUANI,19,Femenino,6 semestre,Soltero,No,No,No,19.379,B,1
67,ADMINISTRACIÓN,SICUANI,31,Masculino,10 semestre,Soltero,No,Si,No,17.371,B,1
68,ADMINISTRACIÓN,CUSCO,24,Femenino,9 semestre,Soltero,No,Si,No,13.128,A,0
69,ADMINISTRACIÓN,QUILLABAMBA,18,Masculino,3 semestre,Soltero,No,No,No,18.925,C,1
70,ADMINISTRACIÓN,CUSCO,27,Femenino,9 semestre,Soltero,No,Si,No,16.7,C,1
71,ADMINISTRACIÓN,SICUANI,26,Masculino,9 semestre,Soltero,No,Si,Si,13.142,C,0
72,ADMINISTRACIÓN,CUSCO,22,Femenino,9 semestre,Soltero,No,No,No,18.999,A,1
73,ADMINISTRACIÓN,PUERTO MALDONADO,23,Femenino,10 semestre,Soltero,Si,Si,No,13.835,C,0
